default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings_account/bonds,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,1,6,4,domestic appliances,1169,5,5,4,3,1,4,1,67,3,own,2,skilled employee / official,1,2,1
1,2,48,2,domestic appliances,5951,1,3,2,2,1,2,1,22,3,own,1,skilled employee / official,1,1,1
0,4,12,4,(vacation - does not exist?),2096,1,4,2,3,1,3,1,49,3,own,1,unskilled - resident,2,1,1
0,1,42,2,radio/television,7882,1,4,2,3,0,4,2,45,3,for free,1,skilled employee / official,2,1,1
1,1,24,3,car (new),4870,1,3,3,3,1,4,4,53,3,for free,2,skilled employee / official,2,1,1
0,4,36,2,(vacation - does not exist?),9055,5,3,2,3,1,4,4,35,3,for free,1,unskilled - resident,2,2,1
0,4,24,2,radio/television,2835,3,5,3,3,1,4,2,53,3,own,1,skilled employee / official,1,1,1
0,2,36,2,car (used),6948,1,3,2,3,1,2,3,35,3,rent,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,4,12,2,domestic appliances,3059,4,4,2,1,1,4,1,61,3,own,1,unskilled - resident,1,1,1
1,2,30,4,car (new),5234,1,1,4,4,1,2,3,28,3,own,2,management/ self-employed/ highly qualified employee/ officer,1,1,1
1,2,12,2,car (new),1295,1,2,3,2,1,1,3,25,3,rent,1,skilled employee / official,1,1,1
1,1,48,2,business,4308,1,2,3,2,1,4,2,24,3,rent,1,skilled employee / official,1,1,1
0,2,12,2,domestic appliances,1567,1,3,1,2,1,1,3,22,3,own,1,skilled employee / official,1,2,1
1,1,24,4,car (new),1199,1,5,4,3,1,4,3,60,3,own,2,unskilled - resident,1,1,1
0,1,15,2,car (new),1403,1,3,2,2,1,4,3,28,3,rent,1,skilled employee / official,1,1,1
1,1,24,2,domestic appliances,1282,2,3,4,2,1,2,3,32,3,own,1,unskilled - resident,1,1,1
0,4,24,4,domestic appliances,2424,5,5,4,3,1,4,2,53,3,own,2,skilled employee / official,1,1,1
0,1,30,0,business,8072,5,2,2,3,1,3,3,25,1,own,3,skilled employee / official,1,1,1
1,2,24,2,car (used),12579,1,5,4,2,1,2,4,44,3,for free,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,4,24,2,domestic appliances,3430,3,5,3,3,1,2,3,31,3,own,1,skilled employee / official,2,2,1
0,4,9,4,car (new),2134,1,3,4,3,1,4,3,48,3,own,3,skilled employee / official,1,2,1
0,1,6,2,domestic appliances,2647,3,3,2,3,1,3,1,44,3,rent,1,skilled employee / official,2,1,1
0,1,10,4,car (new),2241,1,2,1,3,1,3,1,48,3,rent,2,unskilled - resident,2,1,2
0,2,12,4,car (used),1804,2,2,3,3,1,4,2,44,3,own,1,skilled employee / official,1,1,1
0,4,10,4,radio/television,2069,5,3,2,4,1,1,3,26,3,own,2,skilled employee / official,1,1,2
0,1,6,2,radio/television,1374,1,3,1,3,1,2,1,36,1,own,1,unskilled - resident,1,2,1
0,4,6,0,domestic appliances,426,1,5,4,4,1,4,3,39,3,own,1,unskilled - resident,1,1,1
0,3,12,1,domestic appliances,409,4,3,3,2,1,3,1,42,3,rent,2,skilled employee / official,1,1,1
0,2,7,2,domestic appliances,2415,1,3,3,3,0,2,1,34,3,own,1,skilled employee / official,1,1,1
1,1,60,3,business,6836,1,5,3,3,1,4,4,63,3,own,2,skilled employee / official,1,2,1
0,2,18,2,business,1913,4,2,3,4,1,3,1,36,1,own,1,skilled employee / official,1,2,1
0,1,24,2,radio/television,4020,1,3,2,3,1,2,3,27,2,own,1,skilled employee / official,1,1,1
0,2,18,2,car (new),5866,2,3,2,3,1,2,3,30,3,own,2,skilled employee / official,1,2,1
0,4,12,4,business,1264,5,5,4,3,1,4,4,57,3,rent,1,unskilled - resident,1,1,1
0,3,12,2,radio/television,1474,1,2,4,2,1,1,2,33,1,own,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
1,2,45,4,domestic appliances,4746,1,2,4,3,1,2,2,25,3,own,2,unskilled - resident,1,1,1
0,4,48,4,(vacation - does not exist?),6110,1,3,1,3,1,3,4,31,1,for free,1,skilled employee / official,1,2,1
1,3,18,2,domestic appliances,2100,1,3,4,3,0,2,1,37,2,own,1,skilled employee / official,1,1,1
0,3,10,2,repairs,1225,1,3,2,3,1,2,3,37,3,own,1,skilled employee / official,1,2,1
0,2,9,2,domestic appliances,458,1,3,4,3,1,3,1,24,3,own,1,skilled employee / official,1,1,1
0,4,30,2,domestic appliances,2333,3,5,4,3,1,2,3,30,1,own,1,management/ self-employed/ highly qualified employee/ officer,1,1,1
0,2,12,2,domestic appliances,1158,3,3,3,1,1,1,3,26,3,own,1,skilled employee / official,1,2,1
0,2,18,3,education,6204,1,3,2,3,1,4,1,44,3,own,1,unskilled - resident,2,2,1
0,1,30,4,car (used),6187,2,4,1,4,1,4,3,24,3,rent,2,skilled employee / official,1,1,1
1,1,48,4,car (used),6143,1,5,4,2,1,4,4,58,2,for free,2,unskilled - resident,1,1,1
0,4,11,4,car (new),1393,1,2,4,2,1,4,3,35,3,own,2,management/ self-employed/ highly qualified employee/ officer,1,1,1
0,4,36,2,domestic appliances,2299,3,5,4,3,1,4,3,39,3,own,1,skilled employee / official,1,1,1
0,1,6,2,car (used),1352,3,1,1,2,1,2,2,23,3,rent,1,unemployed/ unskilled - non-resident,1,2,1
0,4,11,4,car (new),7228,1,3,1,3,1,4,2,39,3,own,2,unskilled - resident,1,1,1
0,4,12,2,domestic appliances,2073,2,3,4,2,0,2,1,28,3,own,1,skilled employee / official,1,1,1
0,2,24,3,radio/television,2333,5,2,4,3,1,2,2,29,1,own,1,unskilled - resident,1,1,1
0,2,27,3,car (used),5965,1,5,1,3,1,2,3,30,3,own,2,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,4,12,2,domestic appliances,1262,1,3,3,3,1,2,3,25,3,own,1,skilled employee / official,1,1,1
0,4,18,2,car (used),3378,5,3,2,3,1,1,2,31,3,own,1,skilled employee / official,1,2,1
1,2,36,3,car (new),2225,1,5,4,3,1,4,4,57,1,for free,2,skilled employee / official,1,2,1
0,4,6,1,car (new),783,5,3,1,3,0,2,1,26,2,own,1,unskilled - resident,2,1,1
1,2,12,2,domestic appliances,6468,5,1,2,3,1,1,4,52,3,own,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,4,36,4,domestic appliances,9566,1,3,2,2,1,2,3,31,2,own,2,skilled employee / official,1,1,1
0,3,18,2,car (new),1961,1,5,3,2,1,2,3,23,3,own,1,management/ self-employed/ highly qualified employee/ officer,1,1,1
1,1,36,4,radio/television,6229,1,2,4,2,0,4,4,23,3,rent,2,unskilled - resident,1,2,1
0,2,9,2,business,1391,1,3,2,4,1,1,1,27,1,own,1,skilled employee / official,1,2,1
0,2,15,4,domestic appliances,1537,5,5,4,3,0,4,1,50,3,own,2,skilled employee / official,1,2,1
1,2,36,0,business,1953,1,5,4,3,1,4,4,61,3,for free,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
1,2,48,0,business,14421,1,3,2,3,1,2,3,25,3,own,1,skilled employee / official,1,2,1
0,4,24,2,domestic appliances,3181,1,2,4,2,1,4,2,26,3,own,1,skilled employee / official,1,2,1
0,4,27,2,education,5190,5,5,4,3,1,4,2,48,3,own,4,skilled employee / official,2,2,1
0,4,12,2,domestic appliances,2171,1,2,2,2,1,2,3,29,1,own,1,skilled employee / official,1,1,1
0,2,12,2,car (new),1007,4,3,4,4,1,1,1,22,3,own,1,skilled employee / official,1,1,1
1,4,36,2,(vacation - does not exist?),1819,1,3,4,3,1,4,4,37,2,for free,1,skilled employee / official,1,2,1
0,4,36,2,domestic appliances,2394,5,3,4,2,1,4,3,25,3,own,1,skilled employee / official,1,1,1
0,4,36,2,car (used),8133,1,3,1,2,1,2,2,30,1,own,1,skilled employee / official,1,1,1
0,4,7,4,domestic appliances,730,5,5,4,3,1,2,2,46,3,rent,2,unskilled - resident,1,2,1
0,1,8,4,furniture/equipment,1164,1,5,3,3,1,4,4,51,1,for free,2,management/ self-employed/ highly qualified employee/ officer,2,2,1
0,2,42,4,business,5954,1,4,2,2,1,1,1,41,1,own,2,unskilled - resident,1,1,1
1,1,36,2,(vacation - does not exist?),1977,5,5,4,3,1,4,4,40,3,own,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,1,12,4,car (used),1526,1,5,4,3,1,4,4,66,3,for free,2,management/ self-employed/ highly qualified employee/ officer,1,1,1
1,1,42,2,domestic appliances,3965,1,2,4,3,1,3,3,34,3,own,1,skilled employee / official,1,1,1
0,2,11,3,domestic appliances,4771,1,4,2,3,1,4,2,51,3,own,1,skilled employee / official,1,1,1
0,4,54,0,car (used),9436,5,3,2,3,1,2,2,39,3,own,1,unskilled - resident,2,1,1
0,2,30,2,radio/television,3832,1,2,2,4,1,1,2,22,3,own,1,skilled employee / official,1,1,1
1,4,24,2,domestic appliances,5943,5,2,1,2,1,1,3,44,3,own,2,skilled employee / official,1,2,1
0,4,15,2,domestic appliances,1213,3,5,4,3,1,3,2,47,2,own,1,skilled employee / official,1,2,1
0,4,18,2,business,1568,2,3,3,2,1,4,2,24,3,rent,1,unskilled - resident,1,1,1
0,1,24,2,furniture/equipment,1755,1,5,4,2,0,4,1,58,3,own,1,unskilled - resident,1,2,1
0,1,10,2,domestic appliances,2315,1,5,3,3,1,4,1,52,3,own,1,unskilled - resident,1,1,1
0,4,12,4,business,1412,1,3,4,2,0,2,1,29,3,own,2,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,2,18,4,radio/television,1295,1,2,4,2,1,1,2,27,3,own,2,skilled employee / official,1,1,1
1,2,36,2,(vacation - does not exist?),12612,2,3,1,3,1,4,4,47,3,for free,1,skilled employee / official,2,2,1
0,1,18,2,car (new),2249,2,4,4,3,1,3,3,30,3,own,1,management/ self-employed/ highly qualified employee/ officer,2,2,1
1,1,12,0,education,1108,1,4,4,3,1,3,1,28,3,own,2,skilled employee / official,1,1,1
0,4,12,4,domestic appliances,618,1,5,4,3,1,4,1,56,3,own,1,skilled employee / official,1,1,1
0,1,12,4,car (used),1409,1,5,4,3,1,3,1,54,3,own,1,skilled employee / official,1,1,1
1,4,12,4,domestic appliances,797,5,5,4,2,1,3,2,33,1,own,1,unskilled - resident,2,1,1
0,3,24,4,radio/television,3617,5,5,4,3,0,4,4,20,3,rent,2,skilled employee / official,1,1,1
0,2,12,2,car (new),1318,4,5,4,3,1,4,1,54,3,own,1,skilled employee / official,1,2,1
1,2,54,0,business,15945,1,2,3,3,1,4,4,58,3,rent,1,skilled employee / official,1,2,1
0,4,12,4,(vacation - does not exist?),2012,5,4,4,2,1,2,3,61,3,own,1,skilled employee / official,1,1,1
0,2,18,2,business,2622,2,3,4,3,1,4,3,34,3,own,1,skilled employee / official,1,1,1
0,2,36,4,domestic appliances,2337,1,5,4,3,1,4,1,36,3,own,1,skilled employee / official,1,1,1
0,2,20,3,car (used),7057,5,4,3,3,1,4,2,36,1,rent,2,management/ self-employed/ highly qualified employee/ officer,2,2,1
0,4,24,2,car (new),1469,2,5,4,4,1,4,1,41,3,rent,1,unskilled - resident,1,1,1
0,2,36,2,domestic appliances,2323,1,4,4,3,1,4,3,24,3,rent,1,skilled employee / official,1,1,1
0,4,6,3,domestic appliances,932,1,3,3,2,1,2,1,24,3,own,1,skilled employee / official,1,1,1
0,2,9,4,radio/television,1919,1,4,4,3,1,3,3,35,3,rent,1,skilled employee / official,1,2,1
0,4,12,2,car (used),2445,5,2,2,4,1,4,3,26,3,rent,1,skilled employee / official,1,2,1
1,2,24,4,furniture/equipment,11938,1,3,2,3,0,3,3,39,3,own,2,management/ self-employed/ highly qualified employee/ officer,2,2,1
1,4,18,1,car (new),6458,1,5,2,3,1,4,4,39,1,own,2,management/ self-employed/ highly qualified employee/ officer,2,2,1
0,2,12,2,car (new),6078,1,4,2,3,1,2,3,32,3,own,1,skilled employee / official,1,1,1
0,1,24,2,radio/television,7721,5,2,1,2,1,2,2,30,3,own,1,skilled employee / official,1,2,2
0,2,14,2,business,1410,3,5,1,4,1,2,1,35,3,own,1,skilled employee / official,1,2,1
0,2,6,3,business,1449,2,5,1,1,1,2,3,31,1,own,2,skilled employee / official,2,1,1
0,3,15,2,(vacation - does not exist?),392,1,2,4,2,1,4,2,23,3,rent,1,skilled employee / official,1,2,1
0,2,18,2,car (new),6260,1,4,3,3,1,3,1,28,3,rent,1,unskilled - resident,1,1,1
1,4,36,4,car (new),7855,1,3,4,2,1,2,1,25,2,own,2,skilled employee / official,1,2,1
0,1,12,2,domestic appliances,1680,3,5,3,4,1,1,1,35,3,own,1,skilled employee / official,1,1,1
0,4,48,4,domestic appliances,3578,5,5,4,3,1,1,1,47,3,own,1,skilled employee / official,1,2,1
1,1,42,2,domestic appliances,7174,5,4,4,2,1,3,3,30,3,own,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,1,10,4,radio/television,2132,5,2,2,2,0,3,1,27,3,rent,2,skilled employee / official,1,1,2
1,1,33,4,radio/television,4281,3,3,1,2,1,4,3,23,3,own,2,skilled employee / official,1,1,1
0,2,12,4,car (new),2366,3,4,3,1,1,3,3,36,3,own,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
1,1,21,2,domestic appliances,1835,1,3,3,2,1,2,1,25,3,own,2,skilled employee / official,1,2,1
0,4,24,4,car (used),3868,1,5,4,2,1,2,3,41,3,rent,2,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,4,12,2,radio/television,1768,1,3,3,3,1,2,1,24,3,rent,1,unskilled - resident,1,1,1
0,3,10,4,car (new),781,1,5,4,3,1,4,4,63,3,for free,2,skilled employee / official,1,2,1
1,2,18,2,radio/television,1924,5,2,4,2,1,3,1,27,3,rent,1,skilled employee / official,1,1,1
0,1,12,4,car (new),2121,1,3,4,3,1,2,2,30,3,own,2,skilled employee / official,1,1,1
0,1,12,2,domestic appliances,701,1,3,4,4,1,2,1,40,3,own,1,unskilled - resident,1,1,1
1,2,12,2,education,639,1,3,4,3,1,2,3,30,3,own,1,skilled employee / official,1,1,1
0,2,12,4,car (used),1860,1,1,4,3,1,2,3,34,3,own,2,management/ self-employed/ highly qualified employee/ officer,1,2,1
1,1,12,4,car (new),3499,1,3,3,2,0,2,1,29,3,own,2,skilled employee / official,1,1,1
0,2,48,2,car (new),8487,5,4,1,2,1,2,3,24,3,own,1,skilled employee / official,1,1,1
1,1,36,3,(vacation - does not exist?),6887,1,3,4,3,1,3,2,29,2,own,1,skilled employee / official,1,2,1
0,4,15,2,radio/television,2708,1,2,2,3,1,3,2,27,1,own,2,unskilled - resident,1,1,1
0,4,18,2,radio/television,1984,1,3,4,3,1,4,4,47,1,for free,2,skilled employee / official,1,1,1
0,4,60,2,domestic appliances,10144,2,4,2,2,1,4,1,21,3,own,1,skilled employee / official,1,2,1
0,4,12,4,domestic appliances,1240,5,5,4,2,1,2,1,38,3,own,2,skilled employee / official,1,2,1
0,4,27,3,car (used),8613,4,3,2,3,1,2,3,27,3,own,2,skilled employee / official,1,1,1
1,2,12,2,domestic appliances,766,3,3,4,3,1,3,1,66,3,own,1,unskilled - resident,1,1,1
0,2,15,4,domestic appliances,2728,5,4,4,3,0,2,1,35,1,own,3,skilled employee / official,1,2,1
0,3,12,2,domestic appliances,1881,1,3,2,2,1,2,3,44,3,rent,1,unskilled - resident,1,2,1
0,3,6,2,car (new),709,4,2,2,4,1,2,1,27,3,own,1,unemployed/ unskilled - non-resident,1,1,2
0,2,36,2,domestic appliances,4795,1,2,4,2,1,1,4,30,3,own,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,1,27,2,domestic appliances,3416,1,3,3,3,1,2,3,27,3,own,1,management/ self-employed/ highly qualified employee/ officer,1,1,1
1,1,18,2,radio/television,2462,1,3,2,3,1,2,3,22,3,own,1,skilled employee / official,1,1,1
0,4,21,4,radio/television,2288,1,2,4,2,1,4,2,23,3,own,1,skilled employee / official,1,2,1
0,2,48,1,business,3566,2,4,4,3,1,2,3,30,3,own,1,skilled employee / official,1,1,1
0,1,6,4,car (new),860,1,5,1,2,1,4,4,39,3,own,2,skilled employee / official,1,2,1
0,4,12,4,car (new),682,2,4,4,2,1,3,3,51,3,own,2,skilled employee / official,1,2,1
0,1,36,4,radio/television,5371,1,3,3,3,0,2,2,28,3,own,2,skilled employee / official,1,1,1
0,4,18,4,domestic appliances,1582,4,5,4,3,1,4,3,46,3,own,2,skilled employee / official,1,1,1
0,4,6,2,domestic appliances,1346,2,5,2,3,1,4,4,42,1,for free,1,skilled employee / official,2,2,1
0,4,10,2,domestic appliances,1924,1,3,1,3,1,4,2,38,3,own,1,skilled employee / official,1,2,2
0,3,36,2,domestic appliances,5848,1,3,4,3,1,1,3,24,3,own,1,skilled employee / official,1,1,1
0,2,24,4,car (used),7758,4,5,2,2,1,4,4,29,3,rent,1,skilled employee / official,1,1,1
0,2,24,3,business,6967,2,4,4,3,1,4,3,36,3,rent,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
1,1,12,2,radio/television,1282,1,3,2,2,1,4,3,20,3,rent,1,skilled employee / official,1,1,1
0,1,9,4,education,1288,2,5,3,3,0,4,1,48,3,own,2,skilled employee / official,2,1,2
0,1,12,1,retraining,339,1,5,4,4,1,1,3,45,1,own,1,unskilled - resident,1,1,1
0,2,24,2,car (new),3512,2,4,2,3,1,3,3,38,1,own,2,skilled employee / official,1,2,1
0,4,6,4,domestic appliances,1898,5,3,1,3,1,2,1,34,3,own,2,unskilled - resident,2,1,1
0,4,24,4,domestic appliances,2872,2,5,3,3,1,4,1,36,3,own,1,skilled employee / official,2,2,1
0,4,18,4,car (new),1055,1,2,4,2,1,1,2,30,3,own,2,skilled employee / official,1,1,1
0,4,15,2,repairs,1262,3,4,4,3,1,3,2,36,3,own,2,skilled employee / official,1,2,1
0,2,10,2,car (new),7308,1,1,2,3,1,4,4,70,1,for free,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,4,36,2,car (new),909,3,5,4,3,1,4,2,36,3,own,1,skilled employee / official,1,1,1
0,4,6,2,radio/television,2978,3,3,1,3,1,2,3,32,3,own,1,skilled employee / official,1,2,1
1,1,18,2,radio/television,1131,1,1,4,2,1,2,3,33,3,own,1,skilled employee / official,1,1,1
0,2,11,2,radio/television,1577,4,2,4,2,1,1,1,20,3,own,1,skilled employee / official,1,1,1
0,4,24,2,radio/television,3972,1,4,2,2,1,4,2,25,3,rent,1,skilled employee / official,1,2,1
1,2,24,4,business,1935,1,5,4,1,1,4,1,31,3,own,2,skilled employee / official,1,2,1
1,1,15,0,car (new),950,1,5,4,3,1,3,3,33,3,rent,2,skilled employee / official,2,1,1
0,4,12,2,radio/television,763,1,3,4,2,1,1,1,26,3,own,1,skilled employee / official,1,2,1
1,2,24,3,radio/television,2064,1,1,3,2,1,2,2,34,3,own,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,2,8,2,domestic appliances,1414,1,3,4,3,0,2,1,33,3,own,1,skilled employee / official,1,1,2
1,1,21,3,(vacation - does not exist?),3414,1,2,2,3,1,1,2,26,3,own,2,skilled employee / official,1,1,1
1,4,30,1,car (used),7485,5,1,4,2,1,1,1,53,1,own,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,1,12,2,radio/television,2577,1,3,2,1,1,1,3,42,3,own,1,skilled employee / official,1,1,1
0,1,6,4,domestic appliances,338,3,5,4,3,1,4,3,52,3,own,2,skilled employee / official,1,1,1
0,4,12,2,domestic appliances,1963,1,4,4,3,1,2,3,31,3,rent,2,management/ self-employed/ highly qualified employee/ officer,2,2,1
0,1,21,4,car (new),571,1,5,4,3,1,4,1,65,3,own,2,skilled employee / official,1,1,1
1,4,36,3,business,9572,1,2,1,1,1,1,3,28,3,own,2,skilled employee / official,1,1,1
1,2,36,3,business,4455,1,3,2,1,1,2,1,30,2,own,2,management/ self-employed/ highly qualified employee/ officer,1,2,1
1,1,21,1,car (new),1647,5,3,4,3,1,2,2,40,3,own,2,unskilled - resident,2,1,1
0,4,24,4,radio/television,3777,4,3,4,3,1,4,1,50,3,own,1,skilled employee / official,1,2,1
1,2,18,4,car (new),884,1,5,4,3,1,4,3,36,1,own,1,skilled employee / official,2,2,1
0,4,15,4,domestic appliances,1360,1,3,4,3,1,2,2,31,3,own,2,skilled employee / official,1,1,1
1,2,9,1,car (used),5129,1,5,2,2,1,4,4,74,1,for free,1,management/ self-employed/ highly qualified employee/ officer,2,2,1
0,2,16,4,car (new),1175,1,1,2,3,1,3,3,68,3,for free,3,unemployed/ unskilled - non-resident,1,2,1
1,1,12,2,domestic appliances,674,2,4,4,4,1,1,2,20,3,own,1,skilled employee / official,1,1,1
0,2,18,0,radio/television,3244,1,3,1,2,1,4,3,33,1,own,2,skilled employee / official,1,2,1
1,4,24,2,business,4591,4,3,2,3,1,3,2,54,3,own,3,management/ self-employed/ highly qualified employee/ officer,1,2,1
1,2,48,0,business,3844,2,4,4,3,1,4,4,34,3,for free,1,unskilled - resident,2,1,1
1,2,27,2,business,3915,1,3,4,3,1,2,3,36,3,own,1,skilled employee / official,2,2,1
0,4,6,2,domestic appliances,2108,1,4,2,4,1,2,1,29,3,rent,1,skilled employee / official,1,1,1
1,2,45,2,domestic appliances,3031,2,3,4,3,0,4,2,21,3,rent,1,skilled employee / official,1,1,1
